01-OpHi,01-OpLo,01-OpCl,01-Vol,02-OpHi,02-OpLo,02-OpCl,02-Vol,03-OpHi,03-OpLo,03-OpCl,03-Vol,04-OpHi,04-OpLo,04-OpCl,04-Vol,05-OpHi,05-OpLo,05-OpCl,05-Vol,06-OpHi,06-OpLo,06-OpCl,06-Vol,07-OpHi,07-OpLo,07-OpCl,07-Vol,08-OpHi,08-OpLo,08-OpCl,08-Vol,09-OpHi,09-OpLo,09-OpCl,09-Vol,10-OpHi,10-OpLo,10-OpCl,10-Vol,11-OpHi,11-OpLo,11-OpCl,11-Vol,12-OpHi,12-OpLo,12-OpCl,12-Vol,13-OpHi,13-OpLo,13-OpCl,13-Vol,14-OpHi,14-OpLo,14-OpCl,14-Vol,15-OpHi,15-OpLo,15-OpCl,15-Vol,StdSlpSMA13,StdSlpSMA55,Max13m,Min13m
0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,0.562230,0.669654,0.082147,0.946676
0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.597528,0.697139,0.071064,0.938324
1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.558229,0.693503,0.034783,0.910982
0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,0.641584,0.702271,0.151644,1.000000
1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,0.564934,0.702271,0.036908,0.913915
0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,0.576195,0.654402,0.036908,0.915154
1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.562175,0.718887,0.037410,0.916086
1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.630791,0.706971,0.025853,0.907376
0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.627015,0.720314,0.147602,0.999127
1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,0.643623,0.729931,0.000126,0.887988
1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.626958,0.727474,0.000126,0.887988
1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,0.647226,0.717856,0.000251,0.888083
0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,0.672673,0.708346,0.000251,0.888083
1.000000,0.000000,0.310392,0.000051,0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.960873,0.000000,0.289539,0.045588,0.622174,0.717963,0.000000,0.887893
1.000000,0.242863,0.477889,0.012766,1.000000,0.000000,0.310392,0.000051,0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.872106,0.000000,0.242538,0.013177,0.560241,0.659026,0.000000,0.888083
0.690504,0.001106,0.145450,0.877271,1.000000,0.242863,0.477889,0.012766,1.000000,0.000000,0.310392,0.000051,0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.898660,0.143685,0.256384,0.204202,0.626006,0.645603,0.136602,0.991122
1.000000,0.002431,0.312068,0.090845,0.690504,0.001106,0.145450,0.877271,1.000000,0.242863,0.477889,0.012766,1.000000,0.000000,0.310392,0.000051,0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,1.000000,0.207383,0.310544,0.299063,0.625771,0.643087,0.000411,0.889034
1.000000,0.255839,0.311153,0.580512,1.000000,0.002431,0.312068,0.090845,0.690504,0.001106,0.145450,0.877271,1.000000,0.242863,0.477889,0.012766,1.000000,0.000000,0.310392,0.000051,0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.735063,0.000000,0.171759,0.520249,0.625432,0.677011,0.003027,0.890175
1.000000,0.132322,0.401651,0.021688,1.000000,0.255839,0.311153,0.580512,1.000000,0.002431,0.312068,0.090845,0.690504,0.001106,0.145450,0.877271,1.000000,0.242863,0.477889,0.012766,1.000000,0.000000,0.310392,0.000051,0.999431,0.000000,0.310088,0.148414,1.000000,0.000000,0.310392,0.744286,1.000000,0.000220,0.310543,0.080535,1.000000,0.000000,0.310392,0.539606,0.665866,0.000000,0.132320,0.203700,1.000000,0.000000,0.310392,0.123880,1.000000,0.000000,0.310392,0.092577,0.976372,0.197652,0.446708,0.378752,1.000000,0.200545,0.310392,0.196656,0.633705,0.618802,0.053159,0.943049
